CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2022 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);;Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;;Gov't Expenditure % of GDP ;Country;;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
161;Tajikistan;Tajikistan;Asia-Pacific;147;30;49.7;29.5;9.1;17.8370634468318;95.3;72.4;80,0;56.9;43.1255576781662;67.1;69.6;25;30;7.7;Tajikistan;13,0;15,0;9,0;Tajikistan;30.3376666666667;Tajikistan;Tajikistan;9.537642;34.827;4.5;6.66;3675.627;7.5;8.589;107,0;48.136
162;Tanzania;Tanzania;Sub-Saharan Africa;93;10;59.5;36.9;27,0;36.9392834561868;80.6;91.9;93.3;46.3;61.9613062394478;73.8;59.8;55;50;10.1;Tanzania;30,0;30,0;11.7;Tanzania;16.47;Tanzania;Tanzania;59.734213;163.598;1.029;5.7198;2820.598;2.16;3,0;1 013,0;38.182
163;Thailand;Thailand;Asia-Pacific;70;13;63.2;44.2;36.2;38.456805543754;81.3;84.4;89.8;63.4;59.6133310610973;74.2;71.6;55;60;6.7;Thailand ;35,0;20,0;15.8;Thailand;22.8246666666667;Thailand;Thailand;69.799978;1272.898;-6.087;1.5964;18236.36;1.02;-0.847;-6 100,0;49.637
164;Timor-Leste;TimorLeste;Asia-Pacific;164;37;46.3;30.8;35.3;38.2463380194886;97.6;0,0;19.7;57.9;56.1972866213895;79.5;75,0;45;20;2.5;Timor-Leste;10,0;10,0;6.32;Timor-Leste;76.6876666666667;Timor-Leste;Timor-Leste;1.318442;4.459;-6.8;-1.3584;3382.312;5.06;0.488;72,0;12.182
165;Togo;Togo;Sub-Saharan Africa;104;15;57.2;36.8;35.1;28.8323507374514;68.7;88.9;88.8;51.5;54.4551850188905;77.3;65.6;60;30;12.2;Togo;45,0;27,0;19.4;Togo;19.244;Togo;Togo;8.278737;18.218;0.7;4.2158;2198.994;4.05;1.831;639,0;57.6
166;Tonga;Tonga;Asia-Pacific;83;17;60.8;64.2;68.1;40.5145129377233;85.4;54.6;96.5;58.7;55.8241757194276;71.9;73.4;40;20;5.8;Tonga;20,0;25,0;20.88;Tonga;38.898;Tonga;Tonga;0.105697;0.62;-0.466;2.0922;6191.05;4.37;0.242;0,0;41.561
167;Trinidad and Tobago;TrinidadTobago;Americas;99;21;58.8;58.8;59.3;44.2349647247022;79.1;69,0;12.9;60.9;57.4003122372385;84.6;68.8;60;50;8.1;Trinidad and Tobago;25,0;30,0;23.7;Trinidad and Tobago;32.1463333333333;Trinidad and Tobago;Trinidad and Tobago;1.399491;35.031;-7.832;-3.5202;25031.373;6.74;0.599;-439,0;59.378
168;Tunisia;Tunisia;Middle East and North Africa;128;10;54.2;60.9;49.5;47.3304054184151;75.2;67,0;20.8;57.7;55.9558949611446;74.4;66.2;45;30;9.4;Tunisia;35,0;15,0;32.1;Tunisia;33.172;Tunisia;Tunisia;11.818618;120.457;-8.8;-0.3912;10119.767;16.69;5.687;652,0;87.635
169;Turkey;Turkey;Europe;107;42;56.9;42,0;25.6;39.3965126516196;74.7;63.8;59.2;63.4;47.0919868942628;61.9;75.6;70;60;4.7;Turkey;40,0;20,0;23.08;Turkey;34.7393333333333;Turkey;Turkey;84.339067;2546.498;1.794;3.299;30252.675;13.92;12.279;7 880,0;36.765
170;Turkmenistan;Turkmenistan;Asia-Pacific;165;38;46.2;19,0;8.3;7.41291941844826;92.6;94.5;98,0;37.5;30.6833607468064;72.7;74.2;10;10;2.9;Turkmenistan;10,0;20,0;15.56;Turkmenistan;13.4983333333333;Turkmenistan;Turkmenistan;6.031187;98.192;0.782;5.1866;16520.714;4.38;7.583;1 169,0;31.032
171;Uganda;Uganda;Sub-Saharan Africa;127;24;54.2;48.3;29.2;24.0316298610802;73.6;89.8;53.5;46.5;54.7045447895774;78.2;57.8;55;40;13.6;Uganda;40,0;30,0;11.8;Uganda;18.4826666666667;Uganda;Uganda;45.741;106.106;-2.104;3.904;2573.998;2.44;3.792;823,0;45.744
172;Ukraine;Ukraine;Europe;130;44;54.1;39.7;31.4;33.8288103296614;89.1;44.5;73.6;61.1;60.68860071584;71.2;78.6;35;30;3.2;Ukraine;20,0;18,0;19.2;Ukraine;43.02;Ukraine;Ukraine;44.134693;543.828;-4.218;1.4606;13109.593;9.48;2.74;-868,0;60.747
173;United Arab Emirates;UnitedArabEmirates;Middle East and North Africa;33;1;70.2;63.5;35.4;71.8415094474586;100,0;71.5;92.8;73.2;64.9220632496099;80.8;78.2;50;60;3.4;United Arab Emirates;0,0;0,0;1,0;United Arab Emirates;30.8486666666667;United Arab Emirates;United Arab Emirates;9.8904;650.829;-5.924;0.4758;58753.003;5,0;-2.074;19 884,0;38.329
174;United Kingdom;UnitedKingdom;Europe;24;17;72.7;96.2;85.9;87.0809050372283;65.4;46.3;22.6;79.1;62.0633691361989;83,0;84.2;80;80;2.9;United Kingdom;45,0;19,0;32.7;United Kingdom;42.3273333333333;United Kingdom;United Kingdom;67.215293;2959.924;-9.92;-0.7542;44116.865;4.34;0.851;19 724,0;103.659
175;United States;UnitedStates;Americas;25;3;72.1;95.7;77.9;75.7304409299298;75.9;54.5;0,0;87.5;75.8268325291361;82.3;75.2;85;80;2.4;United States;37,0;21,0;24.47;United States;38.943;United States;United States;329.484123;20932.75;-3.505;1.1394;63415.985;8.31;1.248;156 321,0;127.113
176;Uruguay;Uruguay;Americas;34;5;70,0;84,0;80.4;75.2156139542407;72.4;70.2;75.2;75.7;60.3323663521889;70.9;70.4;75;30;9.8;Uruguay ;36,0;25,0;29,0;Uruguay;31.499;Uruguay;Uruguay;3.473727;79.302;-5.7;-0.3146;22459.484;12.67;9.756;2 630,0;66.264
177;Uzbekistan;Uzbekistan;Asia-Pacific;117;25;55.7;31.6;13.1;23.8259788689893;90.8;78.1;96.6;59.1;47.9848926194317;61.6;75.6;50;40;4.7;Uzbekistan;22,0;7.5;19.56;Uzbekistan;26.9913333333333;Uzbekistan;Uzbekistan;34.23205;252.576;1.648;4.6896;7449.334;5.97;12.855;1 726,0;37.908
178;Vanuatu;Vanuatu;Asia-Pacific;72;14;62.9;57.8;71.2;42.4363901910559;96.8;60.1;96.1;49.1;40.0266384410406;74.4;61.6;65;40;9.2;Vanuatu;0,0;0,0;17.84;Vanuatu;36.4816666666667;Vanuatu;Vanuatu;0.30715;0.777;-9.235;1.587;2585.77;1.95;2.915;30,0;44.208
179;Venezuela;Venezuela;Americas;176;32;24.8;0.2;4.6;7.12549391909983;74.1;78.3;0,0;30.8;37.5754467462576;0,0;54.8;0;10;12.6;Venezuela ;34,0;34,0;16.7;Venezuela;26.903;Venezuela;Venezuela;28.435943;144.737;-30,0;-23.4664;5178.267;9.14;2355.147;959,0;304.125
180;Vietnam;Vietnam;Asia-Pacific;84;18;60.6;49.6;33.8;33.5598863867964;80.9;85.5;78.8;73.6;53.9012566936835;68.8;78.8;40;50;5.6;Vietnam;35,0;20,0;16.9;Vietnam;21.99;Vietnam;Vietnam;97.338583;1058.693;2.906;6.1258;10868.858;2.27;3.222;15 800,0;46.615
181;Yemen;Yemen;Middle East and North Africa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yemen;15,0;20,0;N/A;Yemen;N/A;Yemen;Yemen;29.825968;62.583;-5,0;-3.319;1927.331;13.42;26.183;-370.9827777;83.156
182;Zambia;Zambia;Sub-Saharan Africa;154;36;48.7;38.3;45.2;30.7985909378835;70.9;73.3;0,0;44.2;41.9397604807007;66.4;68.2;55;50;8.4;Zambia;37.5;35,0;16.7;Zambia;29.8173333333333;Zambia;Zambia;18.383956;63.103;-3.497;1.852;3341.987;12.17;16.35;234,0;117.761
183;Zimbabwe;Zimbabwe;Sub-Saharan Africa;173;46;33.1;20.8;16.3;20.6400503391541;66.1;87.2;79.8;36.9;34.924651824926;0,0;0,0;25;10;67.7;Zimbabwe;51.5;24,0;12.6;Zimbabwe;20.684;Zimbabwe;Zimbabwe;14.862927;39.824;-8.002;-1.293;2621.82;5.7;557.21;194,0;88.873
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
