Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","33","Canada","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","108.55","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","33","Canada","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","960","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","33","Canada","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","61.12","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","40","Chili","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3078","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","93.87","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","40","Chili","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","792","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","49.55","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","351","Chine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3340","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","351","Chine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","105.11","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","351","Chine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","754","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","351","Chine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","41.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","96","Chine - RAS de Hong-Kong","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3236","Fc","Donnée calculée"
