Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes),Country Code,GDP per capita,Region
223,Turkey,2019,3734.0,111.07,16.363,81116,83430,2.853,3.621,2202.0,TUR,9121.515,Europe & Central Asia
226,Uganda,2019,2156.0,43.14,7.143,41167,44270,7.538,0.468,69.0,UGA,798.586,Sub-Saharan Africa
229,United Kingdom,2019,3395.0,106.19,29.013,66727,67530,1.203,6.392,1902.0,GBR,43070.498,Europe & Central Asia
230,Ukraine,2019,3036.0,90.09,24.242,44488,43994,-1.11,5.866,1410.0,UKR,3661.456,Europe & Central Asia
231,United States,2019,3862.0,115.01,29.156,325085,329065,1.224,9.936,22858.0,USA,65279.529,North America
233,Burkina Faso,2019,2733.0,80.16,5.525,19193,20321,5.877,0.52,44.0,BFA,796.115,Sub-Saharan Africa
234,Uruguay,2019,3209.0,87.51,26.27,3437,3462,0.727,1.924,31.0,URY,17688.015,Latin America & Caribbean
235,Uzbekistan,2019,3219.0,100.37,23.361,31960,32982,3.198,0.492,64.0,UZB,1784.01,Europe & Central Asia
236,"Venezuela, RB",2019,2204.0,51.55,13.249,29402,28516,-3.013,4.459,428.0,VEN,7704.0,Latin America & Caribbean
237,Vietnam,2019,2939.0,88.21,21.062,94601,96462,1.967,2.914,1089.0,VNM,2715.276,East Asia & Pacific
238,Ethiopia,2019,2439.0,70.55,4.141,106400,112079,5.337,0.185,77.0,ETH,855.761,Sub-Saharan Africa
244,Samoa,2019,3095.0,89.49,26.3,195,197,1.026,13.762,0.0,WSM,4322.868,East Asia & Pacific
249,"Yemen, Rep.",2019,2019.0,53.33,6.835,27835,29162,4.767,3.911,192.0,YEM,2500.0,Middle East & North Africa
250,"Congo, Dem. Rep.",2019,1913.0,25.91,1.516,81399,86791,6.624,0.551,10.0,COD,580.717,Sub-Saharan Africa
251,Zambia,2019,2267.0,60.89,7.146,16854,17861,5.975,1.054,51.0,ZMB,1305.001,Sub-Saharan Africa
255,Belgium,2019,3800.0,100.34,33.079,11420,11539,1.042,2.161,448.0,BEL,46591.492,Europe & Central Asia
256,Luxembourg,2019,3504.0,108.95,33.79,592,616,4.054,3.612,0.0,LUX,113218.713,Europe & Central Asia
272,Serbia,2019,2865.0,86.58,28.517,8830,8772,-0.657,2.907,104.0,SRB,7417.204,Europe & Central Asia
273,Montenegro,2019,3520.0,111.99,34.858,628,628,0.0,3.054,4.0,MNE,8910.651,Europe & Central Asia
276,Sudan,2019,2581.0,75.87,13.677,40813,42813,4.9,0.33,75.0,SDN,610.928,Sub-Saharan Africa
351,China,2019,3340.0,105.11,22.575,1452626,1465634,0.895,2.905,21195.0,CHN,10143.838,East Asia & Pacific
